City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
213,Gutierrez,CO,scattered clouds,80.6,4.25,-74.0,Gutiérrez
214,Goya,AR,overcast clouds,61.02,-29.14,-59.26,Apart Costanera
215,Cherskiy,RU,scattered clouds,46.02,68.75,161.3,Gostinitsa
216,Tucupita,VE,light rain,75.45,9.06,-62.05,Hotel Tucupita Su​ite C.A.
217,Skibbereen,IE,scattered clouds,62.6,51.55,-9.27,The West Cork Hotel
218,Saga,JP,light intensity shower rain,75.99,33.25,130.3,Hotel New Otani Saga
219,Natal,BR,broken clouds,78.8,-5.79,-35.21,Villa Park Hotel | Natal
220,Orlik,RU,light rain,55.87,52.52,99.83,Oka
221,Paamiut,GL,scattered clouds,43.56,61.99,-49.67,Yeet Hotel
222,Petropavlovsk-Kamchatskiy,RU,broken clouds,53.6,53.05,158.65,"ООО ""Гостиничный комплекс ""Петропавловск"""
223,Thompson,CA,broken clouds,59.0,55.74,-97.86,Burntwood Hotel
224,Pitrufquen,CL,shower rain,44.6,-38.98,-72.65,El Amable Refugio
225,Port Hardy,CA,light rain,53.6,50.7,-127.42,Airport Inn
226,Olafsvik,IS,overcast clouds,51.96,64.89,-23.71,Hotel Olafsvik
227,Sao Joao Da Barra,BR,few clouds,78.8,-21.64,-41.05,Pousada Porto De Canoas
228,Oxilithos,GR,clear sky,82.99,38.58,24.12,Hotel Stomio Beach
229,Yermolayevo,RU,overcast clouds,81.36,52.72,55.8,"Sanatorii ""Zdorov'e"""
230,Aksu,CN,light rain,74.35,41.12,80.26,Pudong Holiday Hotel
231,Airai,TL,scattered clouds,57.79,-8.93,125.41,Juvinal Martin
232,Saint-Francois,FR,clear sky,79.0,46.42,3.91,Manoir Du Bonheur
233,Pisco,PE,overcast clouds,60.8,-13.7,-76.22,Hostal San Isidro Oficial
234,Padang,ID,moderate rain,79.36,-0.95,100.35,Mercure Padang
235,Pangnirtung,CA,broken clouds,46.4,66.15,-65.71,Kilabuk Lodge
236,Dovhe,UA,clear sky,88.0,48.37,23.28,Borzhava
237,Meadow Lake,US,few clouds,84.0,34.8,-106.54,JKL Inc. R.V Park and Storage
238,Dingle,PH,overcast clouds,78.12,11.0,122.67,Camp Pasica
239,Iquitos,PE,broken clouds,80.6,-3.75,-73.25,Cortez Malaga Techy Caroly
240,Jalu,LY,clear sky,98.42,29.03,21.55,Jalu Hotel
241,Broken Hill,AU,overcast clouds,46.4,-31.95,141.43,Daydream Motel & Cottages
242,Twentynine Palms,US,clear sky,93.0,34.14,-116.05,Holiday Inn Express & Suites Twentynine Palms- Joshua Tree
243,Mar Del Plata,AR,scattered clouds,48.99,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
244,Saint-Joseph,RE,few clouds,69.8,-21.37,55.62,"""Plantation Bed and Breakfast"
245,Opuwo,,few clouds,81.55,-18.06,13.84,ABBA Guesthouse
246,Puerto Del Rosario,ES,clear sky,77.0,28.5,-13.86,Hotel JM Puerto del Rosario
247,Sioux Lookout,CA,broken clouds,62.6,50.1,-91.92,Knobby's Fly-In Camps
248,Saint-Pierre,RE,few clouds,69.8,-21.34,55.48,Lindsey Hôtel
249,Farah,AF,clear sky,88.45,32.5,62.5,
250,Arraial Do Cabo,BR,clear sky,77.0,-22.97,-42.03,Pousada Porto Praia
251,Chirala,IN,light rain,86.7,15.82,80.35,Bala Residency
252,Bosaso,SO,overcast clouds,96.8,11.28,49.18,Red Sea Hotel
253,Sun City West,US,few clouds,97.0,33.66,-112.34,Windmill All Suites Surprise
254,Nanyang,CN,moderate rain,69.62,32.99,112.53,Wolong Memory Hotel
255,Husavik,IS,broken clouds,59.0,66.04,-17.34,Bjarnabúð
256,Korla,CN,broken clouds,79.0,41.76,86.15,Gulisitan Hotel
257,Vladicin Han,RS,moderate rain,88.0,42.71,22.06,Villa Grazzia
258,Barnaul,RU,scattered clouds,68.0,53.36,83.76,Alexander House
259,Sola,VU,light rain,79.83,-13.88,167.55,Leumerus Bungalows
260,Hoopstad,ZA,clear sky,49.73,-27.83,25.91,Fouries Guesthouse
261,Nikolskoye,RU,scattered clouds,64.4,59.7,30.79,Tourist House - Sablino
262,Ismailia,EG,clear sky,90.3,30.6,32.27,Mercure Ismailia Forsan Island Hotel
263,Chicama,PE,overcast clouds,67.87,-7.84,-79.15,Hospedaje Punta Cana PERU
264,Rawson,AR,few clouds,44.87,-43.3,-65.1,Hotel Punta León
265,Lakselv,NO,light rain,59.0,70.05,24.97,Lakselv Hotel
266,Muroto,JP,light rain,77.65,33.28,134.15,Oota Ryokan
267,Muswellbrook,AU,overcast clouds,51.01,-32.27,150.9,Wayfarer Motel
268,Myre,NO,scattered clouds,55.4,69.1,15.95,Alveland AS
269,Novyy Urgal,RU,scattered clouds,61.48,51.07,132.56,
270,Vardo,NO,broken clouds,53.6,70.37,31.11,Vardø Hotel AS
271,Siva,EG,clear sky,99.88,29.2,25.52,Qasr Alzaytuna Inn
272,Kilindoni,TZ,few clouds,77.23,-7.91,39.67,Bustani B&B
273,Tobermory,CA,overcast clouds,71.01,45.25,-81.67,Escarpment Heights Motel
274,Sefophe,BW,clear sky,71.6,-22.18,27.97,
275,Hailun,CN,clear sky,66.51,47.45,126.93,Wanhao Hotel
276,Flinders,AU,light rain,48.99,-34.58,150.86,Shellharbour Resort & Conference Centre
277,Santa Cruz,BO,broken clouds,78.8,-17.8,-63.17,Hotel Cortez
278,Peski,RU,clear sky,80.6,55.22,38.76,Dachi Khudozhnikov
279,San Luis,AR,scattered clouds,56.84,-33.3,-66.34,Huarpes Hotel
280,Talnakh,RU,broken clouds,51.8,69.49,88.4,Talnakh Hotel
281,Pingliang,CN,overcast clouds,61.25,35.54,106.69,Xinxiang Hostel
282,Lavrentiya,RU,clear sky,46.35,65.58,-171.0,
283,Cidreira,BR,overcast clouds,57.4,-30.18,-50.21,Novomar Pousada e Turismo Ltda
284,Sanmenxia,CN,moderate rain,67.57,34.77,111.18,Pengzhou Hotel
285,Puerto Colombia,CO,thunderstorm,80.6,10.99,-74.95,Hotel El Emigrante
286,Ixtepec,MX,overcast clouds,79.88,16.58,-95.1,Hotel Express Inn Ixtepec
287,Bridlington,GB,broken clouds,64.4,54.08,-0.19,Expanse Bridlington Seafront Hotel
288,Ahuimanu,US,overcast clouds,78.8,21.44,-157.84,Paradise Bay Resort
289,Jinchang,CN,broken clouds,70.97,38.5,102.17,Mingshihui Jinchang International Hotel
290,Paramonga,PE,broken clouds,64.44,-10.67,-77.83,"Av Douglas Stephen, Los Chalets Paramonga, Lima, Perú"
291,Mount Gambier,AU,light intensity shower rain,48.2,-37.83,140.77,Southgate Motel
292,Noumea,NC,light rain,68.0,-22.28,166.46,Hôtel Le Lagon
293,Sikonge,TZ,broken clouds,82.4,-5.63,32.77,Daukilo Lodge
294,Xuddur,SO,scattered clouds,86.4,4.12,43.89,Banjanay Hotel
295,Kitob,UZ,broken clouds,76.96,39.08,66.83,ULUG'BEK Hotel&Spa
296,Sai Buri,TH,light rain,75.2,6.7,101.62,ร้าน้ำKopi kampong
297,Hualmay,PE,few clouds,64.2,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
298,Nieuw Amsterdam,SR,scattered clouds,87.01,5.88,-55.08,Hotel Stardust
299,Majene,ID,overcast clouds,78.19,-3.54,118.97,Kost Putri RABBANI
300,Ancud,CL,broken clouds,45.0,-41.87,-73.82,HOTEL ANCUD DON LUCAS
301,Risti,EE,overcast clouds,57.99,59.0,24.06,
302,Ilulissat,GL,scattered clouds,46.4,69.22,-51.1,Hotel Arctic
303,Scottsbluff,US,clear sky,70.0,41.87,-103.67,Hampton Inn & Suites Scottsbluff-Conference Center
304,Keuruu,FI,shower rain,59.0,62.27,24.7,Hostelli Nonna
305,Oranjestad,AW,scattered clouds,87.8,12.52,-70.03,Divi Village Golf & Beach Resort
306,Porto Novo,BJ,scattered clouds,80.6,6.5,2.6,Tour Eiffel Hotel Benin
307,Dandong,CN,overcast clouds,69.35,40.13,124.39,Yiranju Farmstay
308,Burla,IN,overcast clouds,79.88,21.5,83.87,Gents Hostel 2(ଭୃଗୁ)
309,Lerwick,GB,scattered clouds,53.6,60.15,-1.15,The Lerwick Hotel
310,Provideniya,RU,clear sky,50.05,64.38,-173.3,
311,Phangnga,TH,light rain,77.0,8.45,98.53,Muang Thong Hotel
312,Marsh Harbour,BS,moderate rain,85.95,26.54,-77.06,Abaco Beach Resort
313,Saint-Ambroise,CA,broken clouds,81.0,48.55,-71.33,Motel Saint-Ambroise
314,Kattivakkam,IN,broken clouds,86.0,13.22,80.32,St. Joseph Thirumana mandapam
315,Evensk,RU,overcast clouds,52.45,61.95,159.23,
316,Maldonado,UY,clear sky,51.8,-34.67,-54.92,La Cimarrona
317,Chico,US,few clouds,82.0,39.73,-121.84,Quality Inn Near Chico State
318,Kazan,RU,clear sky,77.0,55.79,49.12,Korston Hotel & Mall Kazan
319,Marawi,PH,light rain,75.99,8.0,124.29,Derogongan Residence
320,Atambua,ID,overcast clouds,71.44,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
321,Singapore,SG,broken clouds,82.4,1.29,103.85,Hotel Swissôtel The Stamford
322,Portalegre,PT,clear sky,104.0,39.29,-7.43,Rossio Hotel
323,Deputatskiy,RU,overcast clouds,58.39,69.3,139.9,Baza Otdykha
324,Krasnovishersk,RU,clear sky,72.43,60.41,57.08,Inn Serebryaniy rodnik
325,Jiexiu,CN,light rain,66.97,37.02,111.91,IU Hotel Jinzhong Yuhua Road
326,Makakilo City,US,broken clouds,78.8,21.35,-158.09,Marriott's Ko Olina Beach Club
327,Halifax,CA,overcast clouds,66.0,44.65,-63.57,Hotel Halifax
328,Grindavik,IS,shower rain,51.8,63.84,-22.43,Northern Light Inn & Max's Restaurant
329,Kirkwall,GB,shower rain,55.4,58.98,-2.96,Ayre Hotel
330,Singaraja,ID,broken clouds,79.36,-8.11,115.09,Puri Bagus Lovina Resort
331,Manggar,ID,overcast clouds,80.74,-2.88,108.27,Guest Hotel
